ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x39d484,0x29d484,recovered_fn_0029d484,552,c_decompiled,FUN_0039d484,ok
0x39d6ac,0x29d6ac,recovered_fn_0029d6ac,312,c_decompiled,FUN_0039d6ac,ok
0x39d7e4,0x29d7e4,recovered_fn_0029d7e4,352,c_decompiled,FUN_0039d7e4,ok
0x39d944,0x29d944,recovered_fn_0029d944,420,c_decompiled,FUN_0039d944,ok
0x39dae8,0x29dae8,recovered_fn_0029dae8,420,c_decompiled,FUN_0039dae8,ok
0x39dc8c,0x29dc8c,recovered_fn_0029dc8c,12,c_decompiled,FUN_0039dc8c,ok
0x39dc98,0x29dc98,recovered_fn_0029dc98,4,c_decompiled,free,ok
0x39dc9c,0x29dc9c,recovered_fn_0029dc9c,12,c_decompiled,FUN_0039dc9c,ok
0x39dca8,0x29dca8,recovered_fn_0029dca8,4,c_decompiled,FUN_0039dca8,ok
0x39dcac,0x29dcac,recovered_fn_0029dcac,4,c_decompiled,FUN_0039dcac,ok
0x39dcb0,0x29dcb0,recovered_fn_0029dcb0,36,c_decompiled,FUN_0039dcb0,ok
0x39dcd4,0x29dcd4,recovered_fn_0029dcd4,24,c_decompiled,FUN_0039dcd4,ok
0x39dcec,0x29dcec,recovered_fn_0029dcec,4,c_decompiled,free,ok
0x39dcf0,0x29dcf0,recovered_fn_0029dcf0,64,c_decompiled,FUN_0039dcf0,ok
0x39dd30,0x29dd30,recovered_fn_0029dd30,20,c_decompiled,FUN_0039dd30,ok
0x39dd44,0x29dd44,recovered_fn_0029dd44,64,c_decompiled,FUN_0039dd44,ok
0x39dd84,0x29dd84,recovered_fn_0029dd84,1056,c_decompiled,FUN_0039dd84,ok
0x39e1a4,0x29e1a4,recovered_fn_0029e1a4,644,c_decompiled,FUN_0039e1a4,ok
0x39e428,0x29e428,recovered_fn_0029e428,1828,c_decompiled,FUN_0039e428,ok
0x39eb4c,0x29eb4c,recovered_fn_0029eb4c,12,c_decompiled,FUN_0039eb4c,ok
0x39eb58,0x29eb58,recovered_fn_0029eb58,64,c_decompiled,FUN_0039eb58,ok
0x39eb98,0x29eb98,recovered_fn_0029eb98,64,c_decompiled,FUN_0039eb98,ok
0x39ebd8,0x29ebd8,recovered_fn_0029ebd8,64,c_decompiled,FUN_0039ebd8,ok
0x39ec18,0x29ec18,recovered_fn_0029ec18,56,c_decompiled,FUN_0039ec18,ok
0x39ec50,0x29ec50,recovered_fn_0029ec50,84,c_decompiled,FUN_0039ec50,ok
0x39eca4,0x29eca4,recovered_fn_0029eca4,80,c_decompiled,FUN_0039eca4,ok
0x39ecf4,0x29ecf4,recovered_fn_0029ecf4,280,c_decompiled,FUN_0039ecf4,ok
0x39ee0c,0x29ee0c,recovered_fn_0029ee0c,144,c_decompiled,FUN_0039ee0c,ok
0x39ee9c,0x29ee9c,recovered_fn_0029ee9c,140,c_decompiled,FUN_0039ee9c,ok
0x39ef28,0x29ef28,recovered_fn_0029ef28,416,c_decompiled,FUN_0039ef28,ok
0x39f0c8,0x29f0c8,recovered_fn_0029f0c8,1076,c_decompiled,FUN_0039f0c8,ok
0x39f4fc,0x29f4fc,recovered_fn_0029f4fc,392,c_decompiled,FUN_0039f4fc,ok
0x39f684,0x29f684,recovered_fn_0029f684,12,c_decompiled,FUN_0039f684,ok
0x39f690,0x29f690,recovered_fn_0029f690,296,c_decompiled,FUN_0039f690,ok
